 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
145.000000 	393.880005 	0.847743 	97.281944 	3.157185 	3.925869 	-1.314859 	-1.532765 	
146.000000 	394.250000 	0.825174 	97.851387 	3.225785 	4.005903 	-1.363338 	-1.579931 	
147.000000 	394.630005 	0.839062 	97.662498 	3.222826 	3.975001 	-1.345729 	-1.555495 	
148.000000 	395.000000 	0.823525 	97.531944 	3.207186 	4.008681 	-1.359555 	-1.582623 	
149.000000 	395.369995 	0.957726 	97.318054 	3.212924 	3.985070 	-1.210375 	-1.425749 	
150.000000 	395.750000 	0.928820 	97.230553 	3.181400 	4.001214 	-1.231162 	-1.460438 	
151.000000 	396.119995 	0.988108 	97.448608 	3.172041 	4.010764 	-1.166339 	-1.400946 	
152.000000 	396.489990 	1.065104 	97.608330 	3.269927 	4.157292 	-1.121695 	-1.361791 	
153.000000 	396.869995 	1.069618 	97.869446 	3.341425 	4.167014 	-1.139096 	-1.359898 	
154.000000 	397.239990 	1.102865 	98.016670 	3.326268 	4.206250 	-1.103940 	-1.338660 	
155.000000 	397.619995 	1.144444 	98.030556 	3.374334 	4.218924 	-1.081280 	-1.304661 	
156.000000 	397.989990 	1.347569 	98.580559 	3.645532 	4.386632 	-0.995200 	-1.180259 	
157.000000 	398.359985 	1.282292 	97.995834 	3.471558 	4.247396 	-0.995955 	-1.197657 	
158.000000 	398.739990 	1.481077 	97.698608 	3.623127 	4.373785 	-0.894568 	-1.082860 	
159.000000 	399.109985 	1.538195 	97.455551 	3.633033 	4.466321 	-0.859458 	-1.065955 	
160.000000 	399.480011 	1.690364 	97.229164 	3.696920 	4.534376 	-0.782556 	-0.986743 	
161.000000 	399.859985 	1.742796 	97.236115 	3.663346 	4.601389 	-0.742886 	-0.970868 	
162.000000 	400.230011 	1.932638 	97.298615 	3.934541 	4.843055 	-0.710908 	-0.918660 	
163.000000 	400.600006 	1.901388 	97.261108 	3.874214 	4.795138 	-0.711759 	-0.925018 	
164.000000 	400.980011 	1.841927 	97.329170 	3.693116 	4.674479 	-0.695659 	-0.931306 	
165.000000 	401.350006 	2.026909 	97.152779 	3.943417 	4.895659 	-0.665536 	-0.881837 	
166.000000 	401.720001 	2.205382 	97.393059 	4.014009 	5.090278 	-0.598890 	-0.836432 	
167.000000 	402.100006 	2.280209 	97.616669 	4.177899 	5.084897 	-0.605542 	-0.802008 	
168.000000 	402.470001 	2.301215 	98.322220 	4.146800 	5.153819 	-0.588900 	-0.806301 	
169.000000 	402.839996 	2.379253 	97.790276 	4.188526 	5.208680 	-0.565562 	-0.783540 	
170.000000 	403.209991 	2.584983 	97.548607 	4.425302 	5.428994 	-0.537620 	-0.742035 	
171.000000 	403.589996 	2.688802 	97.416664 	4.460508 	5.550000 	-0.506167 	-0.724702 	
172.000000 	403.959991 	2.819099 	97.215279 	4.565157 	5.681078 	-0.482036 	-0.700724 	
173.000000 	404.329987 	3.120225 	97.405556 	4.772705 	5.893924 	-0.425008 	-0.636017 	
174.000000 	404.709991 	3.197743 	97.419449 	4.736532 	5.820137 	-0.392860 	-0.598879 	
175.000000 	405.079987 	3.339234 	97.376389 	4.796434 	5.959547 	-0.362131 	-0.579253 	
176.000000 	405.450012 	3.508768 	97.563889 	4.923068 	6.207986 	-0.338667 	-0.570572 	
177.000000 	405.829987 	3.873785 	97.827774 	5.228201 	6.524306 	-0.299835 	-0.521302 	
178.000000 	406.200012 	3.934028 	97.759720 	5.194082 	6.503299 	-0.277856 	-0.502646 	
179.000000 	406.570007 	4.052256 	97.505554 	5.239009 	6.592882 	-0.256859 	-0.486717 	
180.000000 	406.940002 	4.446614 	97.354164 	5.517028 	6.998437 	-0.215696 	-0.453544 	
181.000000 	407.320007 	4.847134 	98.770836 	5.908514 	7.419791 	-0.198007 	-0.425763 	
182.000000 	407.690002 	4.910937 	98.812500 	5.961414 	7.392709 	-0.193843 	-0.409029 	
183.000000 	408.059998 	5.145313 	97.912498 	6.078805 	7.548438 	-0.166722 	-0.383254 	
184.000000 	408.429993 	5.533331 	97.429169 	6.303441 	7.941144 	-0.130306 	-0.361267 	
185.000000 	408.809998 	5.873003 	97.790276 	6.627657 	8.224305 	-0.120885 	-0.336728 	
186.000000 	409.179993 	6.199739 	97.666664 	6.733876 	8.505207 	-0.082644 	-0.316171 	
187.000000 	409.549988 	6.614064 	97.424995 	7.023371 	9.005210 	-0.060045 	-0.308605 	
188.000000 	409.920013 	7.190279 	97.447220 	7.454411 	9.534549 	-0.036076 	-0.282192 	
189.000000 	410.299988 	7.744877 	97.365280 	7.670046 	9.978471 	0.009709 	-0.253398 	
190.000000 	410.670013 	8.118229 	97.608337 	8.017753 	10.338541 	0.012454 	-0.241767 	
191.000000 	411.040009 	8.754688 	97.449997 	8.300544 	10.816147 	0.053268 	-0.211451 	
192.000000 	411.410004 	9.153037 	97.393059 	8.572704 	11.210590 	0.065503 	-0.202773 	
193.000000 	411.790009 	9.843056 	97.181946 	9.083273 	11.786806 	0.080332 	-0.180214 	
194.000000 	412.160004 	10.564322 	97.183334 	9.626990 	12.471353 	0.092912 	-0.165952 	
195.000000 	412.529999 	11.425956 	97.538887 	10.149155 	13.288195 	0.118497 	-0.150988 	
196.000000 	412.899994 	11.966146 	97.791664 	10.529530 	13.713542 	0.127898 	-0.136302 	
197.000000 	413.279999 	12.760763 	97.748611 	10.929107 	14.271181 	0.154945 	-0.111867 	
198.000000 	413.649994 	13.804774 	98.394447 	11.648491 	15.332640 	0.169838 	-0.104969 	
199.000000 	414.019989 	14.493663 	98.193054 	11.891183 	15.848610 	0.197914 	-0.089370 	
200.000000 	414.390015 	15.648870 	98.384720 	12.682669 	16.924652 	0.210162 	-0.078373 	
201.000000 	414.760010 	16.852083 	98.166664 	13.358333 	17.966667 	0.232334 	-0.064044 	
202.000000 	415.140015 	17.885675 	97.691666 	13.939856 	18.868750 	0.249248 	-0.053507 	
203.000000 	415.510010 	19.321007 	97.330559 	14.866184 	20.174654 	0.262104 	-0.043234 	
204.000000 	415.880005 	20.592274 	97.294441 	15.618598 	21.358681 	0.276453 	-0.036542 	
205.000000 	416.250000 	22.262934 	97.484726 	16.763647 	22.864756 	0.283710 	-0.026674 	
206.000000 	416.619995 	23.767708 	97.566666 	17.654530 	24.301563 	0.297335 	-0.022213 	
207.000000 	417.000000 	25.145052 	97.391670 	18.558332 	25.395832 	0.303742 	-0.009924 	
208.000000 	417.369995 	27.144703 	97.213890 	19.847525 	27.161110 	0.313103 	-0.000604 	
209.000000 	417.739990 	29.307465 	97.597221 	21.072886 	29.108507 	0.329855 	0.006812 	
210.000000 	418.109985 	31.078213 	97.406944 	22.233273 	30.675346 	0.334917 	0.013048 	
211.000000 	418.480011 	33.763542 	97.558334 	23.885687 	33.046356 	0.346102 	0.021470 	
212.000000 	418.850006 	35.877258 	97.305557 	25.149879 	34.913715 	0.355251 	0.027224 	
213.000000 	419.230011 	38.993053 	97.256943 	27.145773 	37.845661 	0.362162 	0.029867 	
214.000000 	419.600006 	41.836544 	97.598610 	28.800846 	40.343056 	0.373365 	0.036351 	
215.000000 	419.970001 	43.679081 	97.351387 	29.902960 	41.973610 	0.378912 	0.039828 	
216.000000 	420.339996 	48.468578 	97.386108 	32.603020 	46.295662 	0.396511 	0.045867 	
217.000000 	420.709991 	51.986980 	97.520836 	35.000908 	49.485416 	0.395619 	0.049315 	
218.000000 	421.079987 	53.621788 	97.580559 	36.207489 	51.064758 	0.392689 	0.048861 	
