 #specbin	  lambda [nm]	  lampspec	  darkspec	  acidspec	  alkaspec	  absorbacid	  absorbalka
0.000000 	339.320007 	0.000000 	0.000000 	0.000000 	0.000000 	-1.#IND00 	-1.#IND00 	
257.000000 	435.540009 	462.394623 	95.321877 	228.658249 	372.996613 	0.704190 	0.214849 	
258.000000 	435.910004 	495.459137 	95.059372 	245.360519 	401.142792 	0.702756 	0.211167 	
259.000000 	436.279999 	504.155426 	95.127083 	249.572342 	409.628357 	0.703136 	0.207634 	
260.000000 	436.649994 	537.095337 	95.022919 	266.212311 	438.255341 	0.701881 	0.203374 	
261.000000 	437.019989 	571.690796 	94.936462 	283.898773 	468.735291 	0.699981 	0.198560 	
262.000000 	437.390015 	568.917847 	95.140625 	282.019043 	467.849579 	0.701762 	0.195590 	
263.000000 	437.760010 	611.991943 	95.094788 	303.572815 	505.499237 	0.701097 	0.191173 	
264.000000 	438.130005 	612.552124 	95.246872 	303.611084 	507.340637 	0.701887 	0.188451 	
265.000000 	438.500000 	653.266724 	95.351044 	323.887604 	542.965820 	0.701589 	0.184939 	
266.000000 	438.869995 	675.216492 	95.300003 	334.414764 	562.792908 	0.702651 	0.182122 	
267.000000 	439.239990 	681.281860 	95.279167 	337.453796 	569.487671 	0.702548 	0.179239 	
268.000000 	439.609985 	710.652344 	95.135414 	351.480499 	595.727112 	0.704030 	0.176401 	
269.000000 	439.980011 	738.557007 	95.187500 	365.788055 	621.291321 	0.702644 	0.172898 	
270.000000 	440.350006 	803.526672 	95.408333 	397.255310 	678.892212 	0.704431 	0.168548 	
271.000000 	440.720001 	797.510925 	95.427086 	394.374634 	675.078918 	0.704195 	0.166666 	
272.000000 	441.089996 	817.355225 	95.087502 	403.600006 	693.540222 	0.705649 	0.164265 	
273.000000 	441.459991 	842.729980 	94.988541 	416.264862 	717.157654 	0.705325 	0.161351 	
274.000000 	441.829987 	877.330811 	94.867706 	433.260132 	748.454041 	0.705546 	0.158875 	
