 Number	Time[sec]	Conduct[uS]	TempWater[C]
    605	  4907.18	      18.20	      23.20	
    606	  4915.28	      18.20	      23.20	
    607	  4923.38	      18.20	      23.20	
    608	  4931.48	      18.20	      23.20	
    609	  4939.58	      18.20	      23.20	
    610	  4947.68	      18.21	      23.20	
    611	  4955.78	      18.21	      23.20	
    612	  4963.88	      18.21	      23.20	
    613	  4971.98	      18.21	      23.20	
    614	  4980.08	      18.21	      23.20	
    615	  4988.18	      18.21	      23.20	
    616	  4996.28	      18.21	      23.20	
    617	  5004.38	      18.21	      23.20	
    618	  5012.48	      18.21	      23.20	
    619	  5020.58	      18.21	      23.20	
    620	  5028.68	      18.21	      23.20	
    621	  5036.78	      18.21	      23.20	
    622	  5044.88	      18.22	      23.20	
    623	  5052.98	      18.21	      23.20	
    624	  5061.08	      18.22	      23.20	
    625	  5069.18	      18.21	      23.20	
    626	  5077.28	      18.22	      23.20	
    627	  5085.38	      18.22	      23.20	
    628	  5093.48	      18.21	      23.20	
    629	  5101.58	     598.00	      23.20	
    630	  5109.68	      55.70	      23.20	
    631	  5117.78	     151.80	      23.20	
    632	  5125.88	     219.00	      23.20	
    633	  5133.98	      95.80	      23.20	
    634	  5142.08	     189.00	      23.20	
    635	  5150.18	     119.60	      23.30	
    636	  5158.28	     155.50	      23.20	
    637	  5166.38	     141.70	      23.20	
    638	  5174.48	     127.10	      23.20	
    639	  5182.58	     143.20	      23.30	
    640	  5190.68	     110.00	      23.30	
    641	  5198.78	     135.70	      23.30	
    642	  5206.88	     121.90	      23.30	
    643	  5214.98	     108.20	      23.30	
    644	  5223.08	     125.00	      23.30	
    645	  5231.18	     123.40	      23.30	
    646	  5239.28	     161.80	      23.30	
    647	  5247.38	     135.60	      23.30	
    648	  5255.48	     196.80	      23.30	
    649	  5263.58	     144.00	      23.30	
    650	  5271.68	     176.80	      23.30	
    651	  5279.78	     168.90	      23.30	
    652	  5287.88	     169.40	      23.30	
    653	  5295.98	     203.00	      23.30	
    654	  5304.08	     170.00	      23.30	
    655	  5312.18	     192.30	      23.30	
    656	  5320.28	     177.70	      23.30	
    657	  5328.38	     259.00	      23.30	
    658	  5336.48	     270.00	      23.30	
    659	  5344.58	     281.00	      23.30	
    660	  5352.68	     313.00	      23.30	
    661	  5360.78	     223.00	      23.30	
    662	  5368.88	     298.00	      23.30	
    663	  5376.98	     254.00	      23.30	
    664	  5385.08	     280.00	      23.30	
    665	  5393.18	     268.00	      23.30	
    666	  5401.28	     243.00	      23.30	
    667	  5409.38	     271.00	      23.30	
    668	  5417.48	     252.00	      23.30	
    669	  5425.58	     251.00	      23.30	
    670	  5433.68	     258.00	      23.30	
    671	  5441.78	     252.00	      23.30	
    672	  5449.88	     261.00	      23.30	
    673	  5457.98	     255.00	      23.30	
    674	  5466.08	     257.00	      23.30	
    675	  5474.18	     257.00	      23.30	
    676	  5482.28	     262.00	      23.30	
    677	  5490.38	     262.00	      23.30	
    678	  5498.48	     386.00	      23.30	
    679	  5506.58	     279.00	      23.30	
    680	  5514.68	     373.00	      23.30	
    681	  5522.78	     320.00	      23.30	
    682	  5530.88	     297.00	      23.30	
    683	  5538.98	     336.00	      23.30	
    684	  5547.08	     307.00	      23.30	
    685	  5555.18	     337.00	      23.30	
    686	  5563.28	     318.00	      23.30	
    687	  5571.38	     315.00	      23.30	
    688	  5579.48	     325.00	      23.30	
    689	  5587.58	     317.00	      23.30	
    690	  5595.68	     323.00	      23.30	
    691	  5603.78	     320.00	      23.30	
    692	  5611.88	     321.00	      23.30	
    693	  5619.98	     323.00	      23.30	
    694	  5628.08	     321.00	      23.30	
    695	  5636.18	     323.00	      23.30	
    696	  5644.28	     322.00	      23.30	
    697	  5652.38	     323.00	      23.30	
    698	  5660.48	     324.00	      23.30	
